Ensembl Gene ID	Associated Gene Name	Description	EntrezGene ID
ENSMUSG00000064336	mt-Tf	mitochondrially encoded tRNA phenylalanine [Source:MGI Symbol;Acc:MGI:102487]	
ENSMUSG00000064337	mt-Rnr1	mitochondrially encoded 12S rRNA [Source:MGI Symbol;Acc:MGI:102493]	
ENSMUSG00000064338	mt-Tv	mitochondrially encoded tRNA valine [Source:MGI Symbol;Acc:MGI:102472]	
ENSMUSG00000064339	mt-Rnr2	mitochondrially encoded 16S rRNA [Source:MGI Symbol;Acc:MGI:102492]	
ENSMUSG00000064340	mt-Tl1	mitochondrially encoded tRNA leucine 1 [Source:MGI Symbol;Acc:MGI:102482]	
ENSMUSG00000064341	mt-Nd1	mitochondrially encoded NADH dehydrogenase 1 [Source:MGI Symbol;Acc:MGI:101787]	17716
ENSMUSG00000064342	mt-Ti	mitochondrially encoded tRNA isoleucine [Source:MGI Symbol;Acc:MGI:102484]	
ENSMUSG00000064343	mt-Tq	mitochondrially encoded tRNA glutamine [Source:MGI Symbol;Acc:MGI:102477]	
ENSMUSG00000064344	mt-Tm	mitochondrially encoded tRNA methionine [Source:MGI Symbol;Acc:MGI:102480]	
ENSMUSG00000064345	mt-Nd2	mitochondrially encoded NADH dehydrogenase 2 [Source:MGI Symbol;Acc:MGI:102500]	17717
ENSMUSG00000064346	mt-Tw	mitochondrially encoded tRNA tryptophan [Source:MGI Symbol;Acc:MGI:102471]	
ENSMUSG00000064347	mt-Ta	mitochondrially encoded tRNA alanine [Source:MGI Symbol;Acc:MGI:102491]	
ENSMUSG00000064348	mt-Tn	mitochondrially encoded tRNA asparagine [Source:MGI Symbol;Acc:MGI:102479]	
ENSMUSG00000064349	mt-Tc	mitochondrially encoded tRNA cysteine [Source:MGI Symbol;Acc:MGI:102490]	
ENSMUSG00000064350	mt-Ty	mitochondrially encoded tRNA tyrosine [Source:MGI Symbol;Acc:MGI:102470]	
ENSMUSG00000064351	mt-Co1	mitochondrially encoded cytochrome c oxidase I [Source:MGI Symbol;Acc:MGI:102504]	17708
ENSMUSG00000064352	mt-Ts1	mitochondrially encoded tRNA serine 1 [Source:MGI Symbol;Acc:MGI:102475]	
ENSMUSG00000064353	mt-Td	mitochondrially encoded tRNA aspartic acid [Source:MGI Symbol;Acc:MGI:102489]	
ENSMUSG00000064354	mt-Co2	mitochondrially encoded cytochrome c oxidase II [Source:MGI Symbol;Acc:MGI:102503]	17709
ENSMUSG00000064355	mt-Tk	mitochondrially encoded tRNA lysine [Source:MGI Symbol;Acc:MGI:102483]	
ENSMUSG00000064356	mt-Atp8	mitochondrially encoded ATP synthase 8 [Source:MGI Symbol;Acc:MGI:99926]	17706
ENSMUSG00000064357	mt-Atp6	mitochondrially encoded ATP synthase 6 [Source:MGI Symbol;Acc:MGI:99927]	17705
ENSMUSG00000064358	mt-Co3	mitochondrially encoded cytochrome c oxidase III [Source:MGI Symbol;Acc:MGI:102502]	17710
ENSMUSG00000064359	mt-Tg	mitochondrially encoded tRNA glycine [Source:MGI Symbol;Acc:MGI:102486]	
ENSMUSG00000064360	mt-Nd3	mitochondrially encoded NADH dehydrogenase 3 [Source:MGI Symbol;Acc:MGI:102499]	17718
ENSMUSG00000064361	mt-Tr	mitochondrially encoded tRNA arginine [Source:MGI Symbol;Acc:MGI:102476]	
ENSMUSG00000065947	mt-Nd4l	mitochondrially encoded NADH dehydrogenase 4L [Source:MGI Symbol;Acc:MGI:102497]	17720
ENSMUSG00000064363	mt-Nd4	mitochondrially encoded NADH dehydrogenase 4 [Source:MGI Symbol;Acc:MGI:102498]	17719
ENSMUSG00000064364	mt-Th	mitochondrially encoded tRNA histidine [Source:MGI Symbol;Acc:MGI:102485]	
ENSMUSG00000064365	mt-Ts2	mitochondrially encoded tRNA serine 2 [Source:MGI Symbol;Acc:MGI:102474]	
ENSMUSG00000064366	mt-Tl2	mitochondrially encoded tRNA leucine 2 [Source:MGI Symbol;Acc:MGI:102481]	
ENSMUSG00000064367	mt-Nd5	mitochondrially encoded NADH dehydrogenase 5 [Source:MGI Symbol;Acc:MGI:102496]	17721
ENSMUSG00000064368	mt-Nd6	mitochondrially encoded NADH dehydrogenase 6 [Source:MGI Symbol;Acc:MGI:102495]	17722
ENSMUSG00000064369	mt-Te	mitochondrially encoded tRNA glutamic acid [Source:MGI Symbol;Acc:MGI:102488]	
ENSMUSG00000064370	mt-Cytb	mitochondrially encoded cytochrome b [Source:MGI Symbol;Acc:MGI:102501]	17711
ENSMUSG00000064371	mt-Tt	mitochondrially encoded tRNA threonine [Source:MGI Symbol;Acc:MGI:102473]	
ENSMUSG00000064372	mt-Tp	mitochondrially encoded tRNA proline [Source:MGI Symbol;Acc:MGI:102478]	
ENSMUSG00000085690	Gm12629	predicted gene 12629 [Source:MGI Symbol;Acc:MGI:3650349]	
ENSMUSG00000092427	Vmn1r-ps69	vomeronasal 1 receptor, pseudogene 69 [Source:MGI Symbol;Acc:MGI:3852419]	
ENSMUSG00000081603	Gm14681	predicted gene 14681 [Source:MGI Symbol;Acc:MGI:3705734]	
ENSMUSG00000087172	Gm12153	predicted gene 12153 [Source:MGI Symbol;Acc:MGI:3649294]	
ENSMUSG00000101805	Gm28768	predicted gene 28768 [Source:MGI Symbol;Acc:MGI:5579474]	
ENSMUSG00000079871	Gm4984	predicted pseudogene 4984 [Source:MGI Symbol;Acc:MGI:3644533]	
ENSMUSG00000036322	H2-Ea-ps	histocompatibility 2, class II antigen E alpha, pseudogene [Source:MGI Symbol;Acc:MGI:95900]	
ENSMUSG00000090336	4932443I19Rik	RIKEN cDNA 4932443I19 gene [Source:MGI Symbol;Acc:MGI:2685952]	403185
ENSMUSG00000091859	Vmn2r100	vomeronasal 2, receptor 100 [Source:MGI Symbol;Acc:MGI:3648026]	627537
ENSMUSG00000024014	Pim1	proviral integration site 1 [Source:MGI Symbol;Acc:MGI:97584]	18712
ENSMUSG00000064310	Zpld1	zona pellucida like domain containing 1 [Source:MGI Symbol;Acc:MGI:2443415]	239852
ENSMUSG00000091404	Gm3140	predicted gene 3140 [Source:MGI Symbol;Acc:MGI:3781319]	
ENSMUSG00000064373	Sepp1	selenoprotein P, plasma, 1 [Source:MGI Symbol;Acc:MGI:894288]	20363
ENSMUSG00000023353	Agap3	ArfGAP with GTPase domain, ankyrin repeat and PH domain 3 [Source:MGI Symbol;Acc:MGI:2183446]	213990
ENSMUSG00000038668	Lpar1	lysophosphatidic acid receptor 1 [Source:MGI Symbol;Acc:MGI:108429]	14745
ENSMUSG00000090429	Gm17271	predicted gene, 17271 [Source:MGI Symbol;Acc:MGI:4936905]	
ENSMUSG00000033697	Arhgap39	Rho GTPase activating protein 39 [Source:MGI Symbol;Acc:MGI:107858]	223666
ENSMUSG00000036606	Plxnb2	plexin B2 [Source:MGI Symbol;Acc:MGI:2154239]	140570
ENSMUSG00000099618	Gm28118	predicted gene 28118 [Source:MGI Symbol;Acc:MGI:5578824]	
ENSMUSG00000023010	Tmbim6	transmembrane BAX inhibitor motif containing 6 [Source:MGI Symbol;Acc:MGI:99682]	110213
ENSMUSG00000094140	Olfr1512	olfactory receptor 1512 [Source:MGI Symbol;Acc:MGI:3031346]	258424
ENSMUSG00000097218	Gm26552	predicted gene, 26552 [Source:MGI Symbol;Acc:MGI:5477046]	
ENSMUSG00000103324	Gm37402	predicted gene, 37402 [Source:MGI Symbol;Acc:MGI:5610630]	
ENSMUSG00000101380	Gm28769	predicted gene 28769 [Source:MGI Symbol;Acc:MGI:5579475]	
ENSMUSG00000083460	Gm12182	predicted gene 12182 [Source:MGI Symbol;Acc:MGI:3650366]	
ENSMUSG00000080795	Gm6783	predicted gene 6783 [Source:MGI Symbol;Acc:MGI:3644277]	
ENSMUSG00000092204	Vmn2r-ps49	vomeronasal 2, receptor, pseudogene 49 [Source:MGI Symbol;Acc:MGI:3757889]	
ENSMUSG00000095912	Gm3317	predicted gene 3317 [Source:MGI Symbol;Acc:MGI:3781495]	
ENSMUSG00000094696	Gm6632	predicted pseudogene 6632 [Source:MGI Symbol;Acc:MGI:3644251]	
ENSMUSG00000098561	Gtpbp4-ps5	GTP binding protein 4, pseudogene 5 [Source:MGI Symbol;Acc:MGI:5520997]	
ENSMUSG00000080803	Gm12683	predicted gene 12683 [Source:MGI Symbol;Acc:MGI:3650644]	
ENSMUSG00000023826	Park2	Parkinson disease (autosomal recessive, juvenile) 2, parkin [Source:MGI Symbol;Acc:MGI:1355296]	50873
ENSMUSG00000090900	Gm3326	predicted gene 3326 [Source:MGI Symbol;Acc:MGI:3781504]	
ENSMUSG00000086738	Gm12154	predicted gene 12154 [Source:MGI Symbol;Acc:MGI:3649295]	
ENSMUSG00000082454	Gm12183	predicted gene 12183 [Source:MGI Symbol;Acc:MGI:3652175]	
ENSMUSG00000096268	Gm20914	predicted gene, 20914 [Source:MGI Symbol;Acc:MGI:5434270]	
ENSMUSG00000095139	Pou3f2	POU domain, class 3, transcription factor 2 [Source:MGI Symbol;Acc:MGI:101895]	18992
ENSMUSG00000079380	Gm8271	predicted gene 8271 [Source:MGI Symbol;Acc:MGI:3648017]	666750
ENSMUSG00000079380	Gm8271	predicted gene 8271 [Source:MGI Symbol;Acc:MGI:3648017]	100504200
ENSMUSG00000102520	Gm36941	predicted gene, 36941 [Source:MGI Symbol;Acc:MGI:5610169]	
ENSMUSG00000106660	Gm43472	predicted gene 43472 [Source:MGI Symbol;Acc:MGI:5663609]	
ENSMUSG00000029282	Amtn	amelotin [Source:MGI Symbol;Acc:MGI:1918671]	71421
ENSMUSG00000092175	Gm3584	predicted gene 3584 [Source:MGI Symbol;Acc:MGI:3781761]	
