ABF1	ACE2	ADR1	ARG80	ARG81	ARO80	ASH1	AZF1	BAS1	CAD1	CBF1	CHA4	CIN5	CRZ1	CUP9	DAL81	DAL82	DIG1	DOT6	ECM22	FHL1	FKH1	FKH2	FZF1	GAL4	GAT1	GAT3	GCN4	GCR1	GCR2	GLN3	GRF10.Pho2.	GTS1	HAA1	HAL9	HAP2	HAP3	HAP4	HAP5	HIR1	HIR2	HMS1	HSF1	IME4	INO2	INO4	IXR1	LEU3	MAC1	MAL13	MAL33	MATa1	MBP1	MCM1	MET31	MET4	MIG1	MOT3	MSN1	MSN2	MSN4	MSS11	MTH1	NDD1	NRG1	PDR1	PHD1	PHO4	PUT3	RAP1	RCS1	REB1	RFX1	RGM1	RGT1	RIM101	RLM1	RME1	ROX1	RPH1	RTG1	RTG3	RTS2	SFL1	SFP1	SIG1	SIP4	SKN7	SKO1	SMP1	SOK2	SRD1	STB1	STE12	STP1	STP2	SUM1	SWI4	SWI5	SWI6	THI2	UGA3	USV1	YAP1	YAP3	YAP5	YAP6	YAP7	YBR267W	YFL044C	YJL206C	ZAP1	ZMS1
YAL001C	0.58	0.73	0.49	0.24	0.05	0.3	0.6	0.25	0.061	1	1	0.051	0.67	0.31	0.38	0.66	0.89	0.22	0.023	0.99	0.57	0.4	0.34	0.66	0.079	0.66	0.2	0.43	0.37	0.44	0.087	0.5	0.87	0.37	0.085	0.46	0.85	0.083	0.29	0.0045	0.072	0.12	0.65	0.27	0.49	0.87	0.57	0.11	0.47	0.5	1	0.45	0.25	0.68	0.069	0.64	0.84	0.013	0.43	0.45	0.63	1	0.83	0.43	0.38	0.03	0.16	0.86	0.47	0.62	0.046	0.23	0.0089	0.71	0.23	0.56	0.9	0.12	0.099	1	0.63	0.89	0.58	1	0.87	0.16	0.12	0.31	1	0.063	0.27	0.77	0.82	0.84	0.35	0.64	0.073	0.5	0.56	1	0.48	0.76	0.0016	0.9	1	1	0.17	1	0.31	0.63	0.083	0.0041	0.81
YAL002W	1	0.76	0.56	0.15	0.079	0.16	1	0.012	0.62	1	1	1	0.22	0.4	1	0.39	1	0.02	0.81	1	1	0.87	0.87	1	0.14	1	1	0.6	0.076	1	0.14	1	0.41	1	1	0.4	0.56	0.047	0.076	0.22	1	1	0.03	1	0.03	1	1	0.12	0.75	0.3	1	0.29	0.008	0.07	0.13	0.11	1	0.068	0.29	0.58	1	1	1	0.087	1	1	0.0049	0.61	1	1	0.31	0.21	1	1	1	1	1	1	0.082	0.34	1	1	1	1	1	1	0.47	1	1	1	1	1	1	0.014	0.17	0.4	1	0.55	0.81	0.96	1	1	1	0.53	0.52	1	0.013	1	1	1	1	1	1
YAL003W	1	0.48	0.68	0.47	0.42	0.79	1	0.026	0.17	1	1	1	0.065	0.9	1	0.12	1	0.85	0.13	1	1	0.17	0.66	1	0.69	1	1	0.9	0.13	1	0.64	0.59	0.14	1	1	0.16	0.84	0.041	0.8	0.47	1	1	0.00029	1	0.024	1	1	0.18	0.4	0.3	1	0.89	0.13	0.15	0.11	0.023	1	0.5	0.27	0.44	1	1	1	0.12	1	1	0.011	0.52	1	1	0.46	0.77	1	1	1	1	1	1	0.0078	0.76	1	1	1	1	1	1	0.59	0.68	1	0.56	1	1	1	0.45	0.22	0.57	1	0.12	0.78	1	1	1	1	0.034	0.99	1	0.019	1	1	1	1	1	1
YAL004W	0.75	0.7	0.89	0.76	0.63	0.85	0.24	0.35	0.4	0.48	0.25	0.3	0.43	0.72	0.41	0.34	0.69	0.15	0.93	0.093	0.42	0.9	0.92	0.24	0.44	0.48	0.12	0.99	0.016	0.26	0.96	0.87	0.82	0.33	0.018	0.42	0.73	0.75	0.23	0.44	0.024	0.16	0.014	0.19	0.73	0.75	0.4	0.21	0.39	0.7	0.056	0.27	0.54	0.62	0.25	0.14	0.59	0.012	0.078	0.77	1	0.66	0.01	0.86	0.92	0.19	0.77	0.81	0.0092	0.87	0.48	0.52	0.61	0.049	0.15	0.86	0.49	0.064	0.014	1	0.61	0.99	0.02	0.58	0.97	0.93	0.47	0.82	0.65	0.18	0.73	0.86	0.64	0.68	0.24	0.35	0.25	0.5	1	0.99	0.99	0.73	0.49	0.7	0.021	0.15	0.15	0.034	0.19	0.77	0.78	0.16	0.33
YAL005C	1	0.48	0.68	0.47	0.42	0.79	1	0.026	0.17	1	1	1	0.065	0.9	1	0.12	1	0.85	0.13	1	1	0.17	0.66	1	0.69	1	1	0.9	0.13	1	0.64	0.59	0.14	1	1	0.16	0.84	0.041	0.8	0.47	1	1	0.00029	1	0.024	1	1	0.18	0.4	0.3	1	0.89	0.13	0.15	0.11	0.023	1	0.5	0.27	0.44	1	1	1	0.12	1	1	0.011	0.52	1	1	0.46	0.77	1	1	1	1	1	1	0.0078	0.76	1	1	1	1	1	1	0.59	0.68	1	0.56	1	1	1	0.45	0.22	0.57	1	0.12	0.78	1	1	1	1	0.034	0.99	1	0.019	1	1	1	1	1	1
YAL007C	0.09	0.75	0.33	0.56	0.32	0.38	0.73	0.36	0.1	0.54	0.83	0.038	0.63	0.1	0.85	0.81	0.67	0.11	0.018	0.9	0.39	0.33	0.78	0.29	0.094	0.88	0.65	0.7	0.11	0.65	0.13	0.41	0.41	0.49	0.99	0.91	0.23	0.25	0.53	0.33	0.45	0.79	0.59	0.38	0.55	0.19	0.085	0.73	0.64	0.8	0.72	0.43	0.1	0.1	0.14	0.43	0.52	0.2	0.44	0.92	0.92	0.24	0.97	0.78	0.27	0.25	0.047	0.61	0.08	0.85	0.39	0.8	0.13	0.8	0.35	0.54	0.16	0.3	0.29	0.16	0.037	0.45	0.44	0.098	0.34	0.24	0.055	0.33	0.76	0.27	0.4	0.49	0.87	0.065	0.32	0.81	0.52	0.29	0.5	1	0.46	0.58	0.015	0.91	1	0.68	0.44	0.99	0.75	0.53	0.3	0.15	0.47
YAL008W	0.64	0.37	0.12	0.83	0.72	0.29	0.44	0.56	0.31	0.11	0.21	0.45	0.77	0.83	0.82	0.81	0.85	0.69	0.33	0.0076	0.55	0.088	1	0.69	0.21	0.37	0.49	0.92	0.79	0.54	0.93	0.2	0.87	0.38	0.69	0.66	0.41	0.78	0.27	0.29	0.52	0.68	0.2	0.11	0.82	0.77	0.46	0.4	0.88	0.85	0.43	0.97	0.63	0.83	0.63	0.44	0.88	0.086	0.84	0.64	0.24	0.71	0.007	0.9	0.8	0.5	0.31	1	0.21	0.61	0.55	0.57	0.24	0.069	0.39	0.1	0.72	0.86	0.52	1	0.23	0.77	0.048	0.3	0.93	0.55	0.91	0.54	0.52	0.95	0.72	0.73	0.45	0.65	0.26	0.96	0.26	0.85	1	1	0.77	0.33	0.96	0.81	0.046	0.14	0.82	0.032	0.75	0.47	0.33	0.31	0.47
YAL009W	0.63	0.51	0.042	0.76	0.6	0.56	0.48	0.52	0.29	0.066	0.55	0.37	0.93	0.14	0.92	0.81	0.21	0.67	0.49	0.18	0.47	0.68	1	0.2	1	0.18	0.37	0.38	0.59	0.73	0.48	0.88	0.15	0.12	0.85	0.76	0.42	0.26	0.68	0.73	0.65	0.97	0.44	0.2	0.8	0.82	0.38	0.79	0.97	0.63	0.33	0.37	1	0.92	0.59	0.47	0.12	0.22	0.34	0.73	0.65	0.64	0.69	0.44	0.7	0.15	0.7	0.46	0.58	0.63	0.89	0.46	0.058	0.13	0.29	0.18	0.59	0.64	0.84	0.56	0.23	0.75	0.68	0.43	0.75	0.73	0.0033	0.14	0.9	0.94	0.91	0.77	0.17	0.71	0.7	0.81	0.47	0.88	1	1	0.39	0.52	0.7	0.87	0.044	0.31	0.93	0.022	1	0.00058	1	0.37	0.0065
YAL010C	0.63	0.51	0.042	0.76	0.6	0.56	0.48	0.52	0.29	0.066	0.55	0.37	0.93	0.14	0.92	0.81	0.21	0.67	0.49	0.18	0.47	0.68	1	0.2	1	0.18	0.37	0.38	0.59	0.73	0.48	0.88	0.15	0.12	0.85	0.76	0.42	0.26	0.68	0.73	0.65	0.97	0.44	0.2	0.8	0.82	0.38	0.79	0.97	0.63	0.33	0.37	1	0.92	0.59	0.47	0.12	0.22	0.34	0.73	0.65	0.64	0.69	0.44	0.7	0.15	0.7	0.46	0.58	0.63	0.89	0.46	0.058	0.13	0.29	0.18	0.59	0.64	0.84	0.56	0.23	0.75	0.68	0.43	0.75	0.73	0.0033	0.14	0.9	0.94	0.91	0.77	0.17	0.71	0.7	0.81	0.47	0.88	1	1	0.39	0.52	0.7	0.87	0.044	0.31	0.93	0.022	1	0.00058	1	0.37	0.0065
YAL011W	0.12	1	0.39	0.64	0.28	0.2	0.38	0.55	0.93	0.37	0.15	0.92	0.72	0.72	0.81	0.57	0.49	0.73	0.74	0.075	0.86	0.67	1	0.3	1	0.099	0.22	0.85	0.23	0.55	0.93	0.71	0.19	0.41	0.79	0.7	0.81	0.52	0.82	0.92	0.32	0.86	0.073	0.72	1	0.71	0.92	0.3	0.91	0.27	0.39	0.75	1	1	0.92	0.55	0.00039	0.072	0.69	0.86	0.44	0.85	0.13	1	0.99	0.51	0.76	0.54	0.19	0.74	0.83	0.84	0.4	0.25	0.51	0.45	0.63	0.6	0.58	0.16	0.78	1	0.39	0.78	0.76	0.93	0.046	1	0.86	0.91	0.89	0.87	0.46	0.63	0.32	0.74	0.5	1	1	1	0.82	0.19	0.4	0.69	0.026	0.16	0.71	0.033	1	1	1	0.1	0.79
YAL012W	0.85	0.69	0.36	0.71	0.94	0.92	0.065	0.52	0.81	0.11	0.013	0.67	0.78	0.4	0.71	0.78	0.95	0.63	0.85	0.023	0.78	0.37	0.76	0.6	0.31	0.019	0.34	0.67	0.25	0.64	0.98	0.84	0.88	0.9	0.87	0.39	0.97	0.94	0.91	0.61	0.62	0.84	0.0037	0.62	0.66	0.57	0.58	0.75	0.08	0.46	0.013	0.93	0.3	0.81	2.4e-08	1.1e-05	0.18	0.2	0.29	0.92	0.66	0.89	0.0065	0.34	0.88	0.48	0.71	0.81	0.02	0.81	0.57	0.92	0.94	0.072	0.95	0.66	0.67	0.43	0.42	0.16	0.049	0.89	0.078	0.96	0.82	0.56	0.073	0.58	0.9	0.95	0.96	0.6	0.95	0.17	0.72	0.94	0.44	0.43	0.8	0.52	0.81	0.29	0.59	0.16	0.049	0.43	0.89	0.16	0.75	0.46	0.46	0.43	0.053
