age (months),control (18 cages at initiation),,,,,,,,,,,,,,,,,,,restricted (17 cages at initiation),,,,,,,,,,,,,,,,
,528,535,559,563,570,571,572,573,583,593,595,599,606,614,617,619,649,656,,661,662,664,665,657,658,659,660,666,503,506,518,519,523,524,525,526
4,"3,558333333","3,775","3,583333333","3,466666667","3,975","3,541666667","3,341666667","3,925","3,758333333","4,091666667","3,916666667","4,591666667","3,508333333","4,216666667","3,891666667","4,2","4,466666667","3,666666667",,"3,6625","3,31875","3,325","3,34375","3,1875","3,35625","3,31875","3,5875","3,5875","2,975","3,05","2,9875","3,25625","3,2","3,325","3,4125","3,46875"
5,"3,406","3,5","3,281","3,406","4,063","3,556","3,231","3,844","3,606","3,825","3,538","4,756","3,363","4,006","3,844","3,888","4,213","3,55",,"3,275","3,075","2,869","3,225","3,038","3,019","2,981","3,206","3,594","2,9","3,038","2,931","3,088","3,063","3,269","3,044","3,263"
6,"3,35","3,581","3,15","3,163","3,538","3,519","2,981","3,819","3,206","3,819","3,438","4,256","3,025","3,775","3,888","3,419","3,863","3,75",,"3,181","2,975","3,169","2,975","3,025",3,"3,081","3,019","3,194","2,575","2,788","2,85","2,938","2,863","3,05","2,75","3,019"
7,"3,238","3,294","3,075","3,369","3,425","3,394","2,994","3,988","3,269","3,638","3,2","4,081","3,156","3,669","3,638","3,688","3,856","3,65",,"3,369","3,05","3,269","3,306","3,156","3,181","3,263","3,094","3,45","2,856","3,069","2,969","3,206","3,038","3,081","3,019","3,206"
8,"3,25","3,438","3,1","3,156","3,456","3,356","2,975","3,781","3,425","3,588","3,419","4,4","3,077","3,681","3,488","3,688","4,013","3,756",,"3,4","3,156","3,269","3,413","3,119","3,313","3,388","3,319","3,544","3,025","3,225","3,1","3,2","3,175","3,05","3,156","3,35"
9,"2,888","3,388","3,094","3,288","3,475","3,644","3,188","3,663","3,175","3,738","3,444","4,238","3,119","3,556","3,588","3,731","4,019","3,625",,"3,294","3,163","3,481","3,556","3,119","3,406","3,4","3,394","3,431","3,1","3,419","3,175","3,256","3,275","3,238","3,188","3,4"
10,"3,444","3,406","3,094","3,438","3,4","3,763","3,213","4,025","3,238","3,619","3,519","4,281","3,381","3,6","3,875","3,775","4,088","3,563",,"3,531","3,438","3,338","3,819","3,275","3,244","3,45","3,316","3,419","3,15","3,3","3,294","3,338","3,325","3,45","3,306","3,475"
11,"3,294","3,506","3,269","3,563","3,538","3,644","3,213","3,863","3,181","3,438","3,694","4,256","3,313","3,456","3,819","3,919","3,988","3,506",,"3,381","3,488","3,488","3,8","3,381","3,288","3,6","3,456","3,463","3,306","3,381","3,356","3,575","3,475","3,388","3,438","3,544"
12,"3,375","3,406","3,375","3,738","3,888","3,863","3,481","3,358","3,5","3,506","3,631","3,642","3,731","3,644","3,775","3,913","4,244","3,581",,"3,45","3,344","3,669","3,913","3,438","3,525","3,563","3,519","3,575","3,263","3,519","3,631","3,55","3,594","3,644","3,331","3,625"
13,"3,469","3,619","3,15","3,544","3,813","3,863","3,456","3,617","3,138","3,85","3,613","3,9","3,538","3,663","3,881","4,163","4,113","3,556",,"3,681","3,306","3,525","3,613","3,456","3,481","3,519","3,675","3,475","3,344","3,481","3,625","3,406","3,481","3,519","3,475","3,506"
14,"3,5","3,513","3,469","3,494","3,65","3,694","3,538","3,492","3,125","3,369","3,644","3,6","3,569","3,588","3,675","3,888","3,825","3,569",,"3,35","3,556","3,025","3,513","3,419","3,456","3,563","3,356","3,625","3,294","3,45","3,263","3,563","3,45","3,656","3,506","3,563"
15,"3,481","3,838","3,35","3,369","3,519","3,6","3,444","3,267","3,5","3,563","3,45","3,767","3,769","3,656","3,719","4,131","3,825","3,419",,"3,356","3,294","3,381","3,544","3,306","3,55","3,425","3,381","3,475","3,369","3,206","3,75","3,475","3,544","3,525","3,506","3,606"
16,"3,663","3,7","3,644","3,838","3,763","3,956","3,65","3,525","3,188","3,575","3,844","3,775","4,238","3,569","3,744","4,163","4,081","3,5",,"3,494","3,525","3,688","3,481","3,325","3,488","3,431","3,475","3,563","3,45","3,544","3,606","3,444","3,5","3,438","3,456","3,563"
17,"3,444","3,413","3,138","3,513","2,775","3,625","3,694","3,417","3,019","3,6","3,563","3,667","3,538","3,375","3,431","3,906","3,669","3,331",,"3,256","3,05","3,231","3,113","3,131","3,325","3,481","3,256","3,463","3,381","3,244","3,706","3,325","3,575","3,394","3,281","3,556"
18,"3,563","3,45","3,475","3,694","3,444","3,713","3,656","3,45","3,025","3,675","3,813","3,525","3,35","3,463","3,538","4,056","3,644","3,363",,"3,575","3,488","3,563","3,306","3,069","3,456","3,45","3,419","3,55","3,319","3,425","3,638","3,444","3,669","3,656","3,288","3,531"
19,"3,225","3,413","3,15","3,806","3,656","3,581","3,913","3,617","3,038","3,419","3,756","3,617","3,575","3,531","3,775","3,7","3,706","3,4",,"2,969","3,013","3,288","3,15","2,856","3,056","3,163","3,225","3,219","3,294","3,213","3,838","3,263","3,2","3,2","3,269","3,188"
20,"3,763","3,775","3,538","3,338","3,8","3,588","3,563","3,508","3,338","3,556","3,588","3,475","3,175","3,75","4,025","3,638","4,225","3,725",,"3,975","3,638","3,675","4,6","3,463","3,475","3,613","3,594","4,238","3,681","3,813","4,138","3,738","4,025","3,938","4,175","3,694"
21,"3,288","3,288","3,613","3,1","3,725","3,525","3,594","3,608","3,35","3,475",4,"2,983","3,583","3,538","4,125","3,958","3,95","3,538",,"3,15","3,475","3,25","4,025","3,038","3,188","3,175","3,294","3,9","3,356","3,65","3,85","3,65","3,563","3,338","3,713","3,544"
22,"3,7","3,775","3,35","3,7","3,688","3,563","2,925","3,65","3,238","3,556","4,113","4,025","3,658","3,888","3,9","3,725","4,525","3,6",,"3,175","3,575","3,325","4,45","3,15","3,25","3,15","3,175","3,525","3,3","3,15","3,325","3,8","3,15","3,275","3,6","3,288"
23,"4,2375","3,925","3,975","3,6875","4,0125","3,6375","3,84166666666667","3,98333333333333","3,5625","3,0875","4,35","3,85","4,025","3,675","3,925","3,81666666666666","4,425","3,075",,"3,6125","3,8","3,7375",,"2,975","3,5625","3,05","3,44375","3,825","3,375","3,65","3,8375","3,65","3,5625","3,35625","3,5","3,3625"
24,"5,6",,"3,775","3,5625","3,7625",,"3,89166666666667","4,075","3,9375","3,25","4,5625",,"3,83333333333333","3,8875",,"4,25",,,,,"3,5",,,"3,2125","3,38125",,"3,31875",,"3,425","3,675","3,625","3,95","3,475","3,325",,"3,35"
25,,,"3,6","3,45","3,175",,"2,8","3,6625","3,3375","2,88125","3,825",,"3,39166666666667",,,"3,95",,,,,"3,675",,,"2,7625","3,36875",,"3,33125",,"3,33333333333333","3,55","3,85","3,575","3,55","3,50625",,"3,3875"
26,,,,"5,4","4,125",,"3,50833333333333","4,1375","3,8125","3,1125","4,475",,"3,53333333333333",,,"3,95833333333333",,,,,"3,5875",,,"3,125","3,2625",,"3,21875",,"3,6","3,575","4,075","3,95","3,5875","3,15",,"3,2375"
27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
