GeneID	I1_plate5_F_5	I1_plate5_F_6	I1_plate5_A_7	I1_plate11_H_10	I1_plate9_H_1	I1_plate10_F_2	I1_plate11_H_6	I1_plate16_B_10	I1_plate17_A_7	I1_plate9_A_3	I1_plate6_E_7	I1_plate16_G_3	I1_plate16_E_7	I1_plate5_G_9	I1_plate16_E_12	I1_plate5_F_3	I1_plate8_D_6	I1_plate17_F_12	I1_plate16_F_4	I1_plate10_B_2	I1_plate6_E_6	I1_plate6_D_12	I1_plate18_H_1	I1_plate15_C_8	I1_plate8_B_7	I1_plate6_C_6	I1_plate7_C_12	I1_plate5_F_10	I1_plate8_G_6	I1_plate19_B_6	I1_plate7_E_3	I1_plate15_G_12	I1_plate19_A_7	I1_plate4_H_9	I1_plate15_E_9	I1_plate19_D_6	I1_plate6_G_11	I1_plate19_E_5	I1_plate18_H_8	I1_plate7_G_9	I1_plate18_G_2	I1_plate4_B_12	I1_plate19_F_10	I1_plate5_G_1	I1_plate15_D_10	I1_plate7_F_5	I1_plate17_H_1	I1_plate3_F_10	I1_plate17_B_4	I1_plate6_A_6	I1_plate7_H_4	I1_plate19_D_1	I1_plate4_F_8	I1_plate16_A_6	I1_plate3_A_10	I1_plate4_G_8	I1_plate4_F_9	I1_plate4_A_1	I1_plate15_B_11	I1_plate3_A_12	I1_plate19_B_12	I1_plate3_F_3	I1_plate8_D_10	I1_plate9_F_6	I1_plate6_E_2	I1_plate9_H_11	I1_plate8_G_1	I1_plate15_B_1	I1_plate17_B_1	I1_plate16_B_2	I1_plate16_C_9	I1_plate6_F_8	I1_plate11_F_1	I1_plate7_B_6	I1_plate19_A_4	I1_plate8_E_11	I1_plate10_B_4	I1_plate10_C_2	I1_plate8_A_2	I1_plate10_F_8	I1_plate3_D_3	I1_plate18_H_6	I1_plate8_B_9	I1_plate18_F_5	I1_plate15_A_12	I1_plate17_E_8	I1_plate3_C_11	I1_plate15_H_5	I1_plate4_B_3	I1_plate18_C_3	I1_plate17_C_7	I1_plate18_D_3	I1_plate15_F_5	I1_plate9_C_6	I1_plate16_C_6	I1_plate15_G_8	I1_plate9_B_2	I1_plate11_A_2	I1_plate17_A_9	I1_plate17_A_4
TSPAN6 (ENSG00000000003)	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DPM1 (ENSG00000000419)	0	26	45	24	0	0	32	0	0	0	10	0	0	5	0	32	0	0	1	1	0	40	29	0	0	33	0	0	143	0	1	0	25	0	0	115	0	38	0	0	47	1	0	4	81	0	0	0	0	0	22	17	164	0	35	20	10	21	19	0	18	8	94	151	1	7	0	0	0	0	0	0	0	34	0	18	128	79	3	0	51	0	0	13	0	0	4	0	107	0	0	0	0	0	66	0	2	118	19	0
SCYL3 (ENSG00000000457)	0	0	41	0	3	0	42	0	0	0	0	28	0	0	0	0	0	0	157	0	37	0	1	0	0	45	0	0	0	0	17	0	0	0	0	13	0	0	113	0	0	0	0	1	11	10	0	0	0	0	10	0	0	0	0	0	0	0	54	1	0	0	0	0	0	1	0	0	0	94	0	0	0	0	0	0	39	0	29	0	0	0	0	0	94	0	0	1	62	0	0	0	0	0	0	1	0	0	159	0
C1orf112 (ENSG00000000460)	0	0	17	0	73	0	1	0	0	0	0	5	0	21	0	1	0	0	1	0	5	0	0	0	0	1	0	0	0	0	15	0	0	0	0	0	0	0	1	1	0	0	17	0	0	43	0	68	0	1	0	0	0	0	0	0	37	1	0	0	0	38	4	0	0	14	0	0	0	0	0	0	0	0	0	0	474	0	0	0	0	0	0	0	0	7	0	64	0	0	0	0	0	0	0	0	0	0	1	0
FGR (ENSG00000000938)	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	315	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	63	166	0	0	0	46	0	0	0	0	0	0	0	0	0
CFH (ENSG00000000971)	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	15	0	0	0	0	0	183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0
FUCA2 (ENSG00000001036)	0	94	110	0	0	0	0	222	0	110	4	177	0	75	0	0	0	0	0	0	129	43	0	0	136	94	221	0	96	0	152	0	57	57	0	0	45	0	55	85	159	1	0	6	0	58	5	0	0	0	97	85	114	1	59	0	54	24	0	0	0	30	288	44	0	0	0	27	0	0	0	82	0	0	0	0	0	0	93	1	22	0	132	0	172	40	113	0	0	0	0	2	0	0	0	0	23	0	0	0
GCLC (ENSG00000001084)	0	0	0	0	35	17	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	4	0	0	0	39	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	138	0	34	3	1	0	18	0	30	9	3	11	9	5	0	0	0	0	0	0	0	0	0	0	42	0	0	0	104	89	2	135	0	0	0	94	153	0	0	0	0	1	0	0	12	0	0	0
NFYA (ENSG00000001167)	0	0	0	0	0	31	7	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	125	32	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	16	0	0	0	8	31	0	0	0	56	0	109	3	0	0	1	18	17	1	63	0	0	1	0	0	0	40	0	0	0	0	97	1	0	0	9	3	0	0	46	17	0	0	0	0	0	0	17	0	0	0
STPG1 (ENSG00000001460)	0	1	0	0	0	0	0	0	0	3	0	25	0	0	0	0	0	0	0	0	0	0	29	0	0	56	0	0	0	0	0	0	0	0	0	0	1	0	0	14	0	0	73	0	0	36	0	0	0	0	60	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0
