"gene","sample","expression"
"Asl","GSM2545336",1170
"Apod","GSM2545336",36194
"Cyp2d22","GSM2545336",4060
"Klk6","GSM2545336",287
"Fcrls","GSM2545336",85
"Slc2a4","GSM2545336",782
"Exd2","GSM2545336",1619
"Gjc2","GSM2545336",288
"Plp1","GSM2545336",43217
"Gnb4","GSM2545336",1071
"Tnc","GSM2545336",219
"Trf","GSM2545336",9719
"Tubb2b","GSM2545336",2245
"Fads1","GSM2545336",6498
"Lxn","GSM2545336",1744
"Prr18","GSM2545336",1284
"Cmtm5","GSM2545336",1381
"Enpp1","GSM2545336",388
"Clic4","GSM2545336",5795
"Tm6sf2","GSM2545336",32
"Slc20a2","GSM2545336",8044
"Itih3","GSM2545336",5918
"Ptn","GSM2545336",5156
"Prodh","GSM2545336",2385
"Msantd1","GSM2545336",85
"Ugt8a","GSM2545336",1239
"Fbln5","GSM2545336",1589
"Trp53inp2","GSM2545336",8374
"Slc7a3","GSM2545336",236
"Dnase1l2","GSM2545336",169
"Icosl","GSM2545336",1198
"Rmnd1","GSM2545336",797
"Tssk5","GSM2545336",368
"Pycr1","GSM2545336",19
"Pla2g3","GSM2545336",515
"Vmn2r1","GSM2545336",116
"Gm29797","GSM2545336",30
"Phyhd1","GSM2545336",2154
"Gpr146","GSM2545336",1520
"Mag","GSM2545336",5250
"Tufm","GSM2545336",1581
"Igdcc4","GSM2545336",2101
"Gm10654","GSM2545336",472
"Ncmap","GSM2545336",143
"Etv4","GSM2545336",208
"Fabp7","GSM2545336",215
"Cpsf4l","GSM2545336",7
"Hexa","GSM2545336",1208
"Mfge8","GSM2545336",1290
"Ccdc136","GSM2545336",6225
"Glul","GSM2545336",89445
"Hopx","GSM2545336",3965
"Pigq","GSM2545336",3353
"Vps11","GSM2545336",4372
"Proca1","GSM2545336",158
"Fbxl22","GSM2545336",39
"Sfxn5","GSM2545336",8426
"Hexim2","GSM2545336",896
"Agt","GSM2545336",8586
"Rlbp1","GSM2545336",209
"Jam2","GSM2545336",3033
"Lcat","GSM2545336",1239
"Oxct1","GSM2545336",11355
"Cacna1e","GSM2545336",5200
"Fa2h","GSM2545336",1254
"Plxnb3","GSM2545336",724
"Lman2l","GSM2545336",864
"Dpy19l1","GSM2545336",2157
"Kctd21","GSM2545336",549
"Thra","GSM2545336",17222
"Dok3","GSM2545336",78
"Sult1a1","GSM2545336",1658
"Rpe","GSM2545336",872
"Acrbp","GSM2545336",231
"Slc2a9","GSM2545336",190
"Emp2","GSM2545336",993
"Aipl1","GSM2545336",91
"Uri1","GSM2545336",2955
"Bcs1l","GSM2545336",343
"Rbm3","GSM2545336",11184
"Tra2a","GSM2545336",3405
"Prex1","GSM2545336",3573
"Josd2","GSM2545336",1132
"Tmco3","GSM2545336",1289
"Srebf1","GSM2545336",4044
"Acer2","GSM2545336",983
