name	ensembl_gene_id	external_gene_name
SRR1258429.filtered.BAM_peak_7903	ENSMUSG00000000167	Pih1d2
SRR1258429.filtered.BAM_peak_7902	ENSMUSG00000000171	Sdhd
SRR1258429.filtered.BAM_peak_2858	ENSMUSG00000000301	Pemt
SRR1258429.filtered.BAM_peak_6738	ENSMUSG00000000439	Mkrn2
SRR1258429.filtered.BAM_peak_6739	ENSMUSG00000000441	Raf1
SRR1258429.filtered.BAM_peak_2705	ENSMUSG00000000581	C1d
SRR1258429.filtered.BAM_peak_7770	ENSMUSG00000000743	Chmp1a
SRR1258429.filtered.BAM_peak_6455	ENSMUSG00000000916	Nsun5
SRR1258429.filtered.BAM_peak_2968	ENSMUSG00000000976	Heatr6
SRR1258429.filtered.BAM_peak_630	ENSMUSG00000063558	Aox1
SRR1258429.filtered.BAM_peak_5641	ENSMUSG00000001017	Chtop
SRR1258429.filtered.BAM_peak_6674	ENSMUSG00000001158	Snrnp27
SRR1258429.filtered.BAM_peak_6522	ENSMUSG00000001376	Vps50
SRR1258429.filtered.BAM_peak_6562	ENSMUSG00000001424	Snd1
SRR1258429.filtered.BAM_peak_4506	ENSMUSG00000001524	Gtf2h4
SRR1258429.filtered.BAM_peak_1400	ENSMUSG00000001674	Ddx18
SRR1258429.filtered.BAM_peak_7820	ENSMUSG00000001774	Chordc1
SRR1258429.filtered.BAM_peak_7054	ENSMUSG00000001829	Clpb
SRR1258429.filtered.BAM_peak_6484	ENSMUSG00000001844	Zdhhc4
SRR1258429.filtered.BAM_peak_3097	ENSMUSG00000001983	Taco1
SRR1258429.filtered.BAM_peak_7887	ENSMUSG00000002031	Ift46
SRR1258429.filtered.BAM_peak_2655	ENSMUSG00000002129	Sf3a1
SRR1258429.filtered.BAM_peak_4452	ENSMUSG00000002280	Narfl
SRR1258429.filtered.BAM_peak_3844	ENSMUSG00000002326	Gmpr2
SRR1258429.filtered.BAM_peak_5463	ENSMUSG00000002455	Prpf6
SRR1258429.filtered.BAM_peak_4656	ENSMUSG00000002477	Snrpd1
SRR1258429.filtered.BAM_peak_3344	ENSMUSG00000002679	Med6
SRR1258429.filtered.BAM_peak_5361	ENSMUSG00000002728	Naa20
SRR1258429.filtered.BAM_peak_4529	ENSMUSG00000002767	Mrpl2
SRR1258429.filtered.BAM_peak_6938	ENSMUSG00000002778	Kdelr1
SRR1258429.filtered.BAM_peak_4268	ENSMUSG00000002845	Tmem39a
SRR1258429.filtered.BAM_peak_7534	ENSMUSG00000003039	Fam32a
SRR1258429.filtered.BAM_peak_342	ENSMUSG00000003135	Cnot11
SRR1258429.filtered.BAM_peak_2480	ENSMUSG00000003226	Ranbp2
SRR1258429.filtered.BAM_peak_7830	ENSMUSG00000003299	Mrpl4
SRR1258429.filtered.BAM_peak_6932	ENSMUSG00000003421	Nosip
SRR1258429.filtered.BAM_peak_6623	ENSMUSG00000029777	Gars
SRR1258429.filtered.BAM_peak_7814	ENSMUSG00000004096	Cwc15
SRR1258429.filtered.BAM_peak_6764	ENSMUSG00000004264	Phb2
SRR1258429.filtered.BAM_peak_6764	ENSMUSG00000004268	Emg1
SRR1258429.filtered.BAM_peak_2571	ENSMUSG00000004356	Utp20
SRR1258429.filtered.BAM_peak_2670	ENSMUSG00000004393	Ddx56
SRR1258429.filtered.BAM_peak_7735	ENSMUSG00000004637	Wwox
SRR1258429.filtered.BAM_peak_5614	ENSMUSG00000004895	Prcc
SRR1258429.filtered.BAM_peak_5616	ENSMUSG00000004896	Rrnad1
SRR1258429.filtered.BAM_peak_4382	ENSMUSG00000004945	Tmem242
SRR1258429.filtered.BAM_peak_6755	ENSMUSG00000030180	Kdm5a
SRR1258429.filtered.BAM_peak_5225	ENSMUSG00000005510	Ndufs3
SRR1258429.filtered.BAM_peak_5302	ENSMUSG00000005804	Bloc1s6
SRR1258429.filtered.BAM_peak_5393	ENSMUSG00000005882	Uqcc1
SRR1258429.filtered.BAM_peak_4211	ENSMUSG00000005899	Smpd4
SRR1258429.filtered.BAM_peak_4163	ENSMUSG00000005981	Trap1
SRR1258429.filtered.BAM_peak_1708	ENSMUSG00000006010	Odr4
SRR1258429.filtered.BAM_peak_3030	ENSMUSG00000006058	Snf8
SRR1258429.filtered.BAM_peak_4207	ENSMUSG00000006134	Crkl
SRR1258429.filtered.BAM_peak_2057	ENSMUSG00000006412	Pfdn2
SRR1258429.filtered.BAM_peak_6940	ENSMUSG00000006599	Gtf2h1
SRR1258429.filtered.BAM_peak_8091	ENSMUSG00000006941	Eif1b
SRR1258429.filtered.BAM_peak_3064	ENSMUSG00000078656	Vps25
SRR1258429.filtered.BAM_peak_6759	ENSMUSG00000007458	M6pr
SRR1258429.filtered.BAM_peak_2986	ENSMUSG00000007646	Rad51c
SRR1258429.filtered.BAM_peak_3586	ENSMUSG00000007836	Hnrnpa0
SRR1258429.filtered.BAM_peak_7518	ENSMUSG00000057788	Ddx49
SRR1258429.filtered.BAM_peak_4763	ENSMUSG00000008301	Phax
SRR1258429.filtered.BAM_peak_5355	ENSMUSG00000008333	Snrpb2
SRR1258429.filtered.BAM_peak_6819	ENSMUSG00000008373	Prpf31
SRR1258429.filtered.BAM_peak_7849	ENSMUSG00000008429	Herpud2
SRR1258429.filtered.BAM_peak_4494	ENSMUSG00000008668	Rps18
SRR1258429.filtered.BAM_peak_8048	ENSMUSG00000010045	Tmem115
SRR1258429.filtered.BAM_peak_8051	ENSMUSG00000010048	Ifrd2
SRR1258429.filtered.BAM_peak_414	ENSMUSG00000010290	AI597479
SRR1258429.filtered.BAM_peak_3844	ENSMUSG00000010376	Nedd8
SRR1258429.filtered.BAM_peak_3834	ENSMUSG00000010406	Mrpl52
SRR1258429.filtered.BAM_peak_5520	ENSMUSG00000027679	Dnajc19
SRR1258429.filtered.BAM_peak_7515	ENSMUSG00000011306	Sugp1
SRR1258429.filtered.BAM_peak_5524	ENSMUSG00000027710	Acad9
SRR1258429.filtered.BAM_peak_4212	ENSMUSG00000012114	Med15
SRR1258429.filtered.BAM_peak_3616	ENSMUSG00000021510	Zfp729a
SRR1258429.filtered.BAM_peak_6567	ENSMUSG00000012535	Tnpo3
SRR1258429.filtered.BAM_peak_3615	ENSMUSG00000058093	Zfp729b
SRR1258429.filtered.BAM_peak_2853	ENSMUSG00000020472	Zkscan17
SRR1258429.filtered.BAM_peak_6293	ENSMUSG00000029213	Commd8
SRR1258429.filtered.BAM_peak_3801	ENSMUSG00000013701	Timm23
SRR1258429.filtered.BAM_peak_6719	ENSMUSG00000005362	Crbn
SRR1258429.filtered.BAM_peak_3977	ENSMUSG00000014313	Cox6c
SRR1258429.filtered.BAM_peak_6940	ENSMUSG00000014418	Hps5
SRR1258429.filtered.BAM_peak_6696	ENSMUSG00000014550	Rbsn
SRR1258429.filtered.BAM_peak_4413	ENSMUSG00000014767	Tbp
SRR1258429.filtered.BAM_peak_3094	ENSMUSG00000020694	Tlk2
SRR1258429.filtered.BAM_peak_1734	ENSMUSG00000014980	Tsen15
SRR1258429.filtered.BAM_peak_7767	ENSMUSG00000015016	Acsf3
SRR1258429.filtered.BAM_peak_2397	ENSMUSG00000015757	Ppil4
SRR1258429.filtered.BAM_peak_3582	ENSMUSG00000015937	H2afy
SRR1258429.filtered.BAM_peak_3790	ENSMUSG00000015971	Actr8
SRR1258429.filtered.BAM_peak_7314	ENSMUSG00000015994	Fnta
SRR1258429.filtered.BAM_peak_8211	ENSMUSG00000016150	Tenm1
SRR1258429.filtered.BAM_peak_8204	ENSMUSG00000016409	Nkap
SRR1258429.filtered.BAM_peak_1498	ENSMUSG00000016528	Mapkapk2
SRR1258429.filtered.BAM_peak_6348	ENSMUSG00000016833	Mrps18c
SRR1258429.filtered.BAM_peak_4438	ENSMUSG00000016946	Kctd5
