	A32_Cntrl	A36_Cntrl	A37_Cntrl	A39_Cntrl	A50_Cntrl	A33_KO	A35_KO	A51_KO
ENSMUSG00000000001.4	32.7672669672985	36.5471938800541	36.9794290357219	12.16509841535	37.1519426752923	30.820901763247	51.3786364637672	35.0100255178341
ENSMUSG00000000003.11	0	0	0	0	0	0	0	0
ENSMUSG00000000028.10	7.5616769924535	9.13679847001353	13.6960848280452	1.73787120219285	18.0130631152932	22.1525231423338	5.13786364637672	7.6584430820262
ENSMUSG00000000037.12	10.082235989938	5.48207908200812	12.3264763452406	17.3787120219285	12.3839808917641	4.81576590050735	2.05514545855069	4.37625318972926
ENSMUSG00000000049.7	0	0	0	1.73787120219285	0	0.963153180101469	0	0
ENSMUSG00000000056.7	161.315775839008	110.555261487164	87.654942899489	158.146279399549	91.1911320211719	73.1996416877116	88.3712547176796	94.089443579179
ENSMUSG00000000058.6	33.3974067166696	18.2735969400271	10.9568678624361	56.4808140712677	22.5163288941165	17.3367572418264	4.11029091710138	6.56437978459388
ENSMUSG00000000078.6	115.945713884287	106.900542099158	97.2422022791206	81.679946503064	69.8006195717612	522.029023614996	439.801128129847	340.25368550145
ENSMUSG00000000085.12	431.015588569849	381.918176046565	362.946247943197	291.093426367303	316.354420962337	198.409555100903	218.872991335648	153.168861640524
ENSMUSG00000000088.6	69.3153724308237	77.662786995115	86.2853344166845	85.1556889074497	95.6943977999952	66.4575694270014	145.915327557099	214.436406296734
ENSMUSG00000000093.6	15.7534937342781	11.8778380110176	31.5009951045039	11.2961628142535	41.6552084541156	18.2999104219279	8.22058183420275	17.505012758917
ENSMUSG00000000094.8	0	0.913679847001353	0	0.868935601096425	0	0.963153180101469	0	0
ENSMUSG00000000103.8	0	0	0	0	0	0	0	0
ENSMUSG00000000120.6	1.89041924811337	2.74103954100406	1.36960848280452	4.34467800548213	1.12581644470583	2.88945954030441	0	1.09406329743231
ENSMUSG00000000125.5	0.630139749371125	0	2.73921696560903	0	0	0	0	0
ENSMUSG00000000126.7	5.041117994969	11.8778380110176	2.73921696560903	22.5923256285071	23.6421453388223	10.5946849811162	22.6066000440576	12.0346962717555
ENSMUSG00000000127.10	78.7674686713906	63.9575892900947	82.176508968271	46.922522459207	75.4297017952904	53.9365780856823	21.5790273147822	75.4903675228297
